Var1,LH,RH
inferiorparietal,10.2539426300757,10.4244907249346
superiorfrontal,8.91282751769527,10.0628453649963
supramarginal,10.0645722091146,8.49613697001884
precuneus,7.79212715758103,7.52247638556959
rostralmiddlefrontal,3.78430398609214,7.45292920096607
superiortemporal,8.04513845771762,6.52352591580997
middletemporal,4.7451260399851,5.08453144164991
precentral,3.00353905376878,4.64828092004603
postcentral,2.45405438966845,3.89084885500044
parstriangularis,2.77381100211101,2.88936939670979
inferiortemporal,3.97056997392276,2.81982221210627
parsopercularis,2.58444058114988,2.80970625798212
bankssts,3.05010555072644,2.75533300456482
superiorparietal,2.24916180305476,2.73257210778549
caudalmiddlefrontal,0.217310319135726,2.66176042891645
lateraloccipital,3.81845275052775,2.6440575091992
fusiform,4.03265863653297,2.26597372380916
paracentral,1.66552837451881,2.10538295208831
lingual,2.60772382962871,1.97893352553646
lateralorbitofrontal,2.14826772631318,1.52498008421532
posteriorcingulate,2.25071401962002,1.4212915544428
insula,3.01595678629082,1.34921538130825
parsorbitalis,1.0492983981125,1.19621157518051
isthmuscingulate,1.20296783807277,1.03309181492862
transversetemporal,1.41872594064324,0.972396090183731
medialorbitofrontal,0.304234446790016,0.882616997331917
caudalanteriorcingulate,0.516888116229976,0.666388477928253
cuneus,0.845958028064075,0.467862878241847
frontalpole,0.305786663355271,0.365438842734848
rostralanteriorcingulate,0.752825034148764,0.232666944855405
parahippocampal,0.162982739351794,0.11886246095874
unknown,0,0
corpuscallosum,0,0
entorhinal,0,0
pericalcarine,0,0
temporalpole,0,0
